Model,Drug,Accuracy,Precision,Recall,rocauc
logistic_regression_results(PCA),RIF,0.964968152866242,0.9769230769230769,0.9724349157733537,0.9819306156838016
logistic_regression_results(SMOTE),RIF,0.9692144373673036,0.9712990936555891,0.9846860643185299,0.9867473518548937
logistic_regression_results(column_modified),RIF,0.9692144373673036,0.9684684684684685,0.9877488514548239,0.9866519709406149
SLE_results(PCA),STR,0.8713450292397661,0.8777969018932874,0.967741935483871,0.9381670070945987
SLE_results(SMOTE),STR,0.8991228070175439,0.8948275862068965,0.9848197343453511,0.9485973966327851
SLE_results(column_modified),STR,0.8874269005847953,0.8839590443686007,0.9829222011385199,0.9433157277704589
SVM_results(PCA),STR,0.8786549707602339,0.8827586206896552,0.9715370018975332,0.9372121973917983
SVM_results(SMOTE),STR,0.8888888888888888,0.8921739130434783,0.9734345351043643,0.9461438982825513
SVM_results(column_modified),STR,0.8888888888888888,0.8921739130434783,0.9734345351043643,0.9443309684671075
XGBoost_results(PCA),STR,0.8874269005847953,0.9120879120879121,0.9449715370018975,0.9306373052611223
XGBoost_results(SMOTE),STR,0.8888888888888888,0.9005328596802842,0.9620493358633776,0.9509058605977834
XGBoost_results(column_modified),STR,0.8961988304093568,0.9028268551236749,0.969639468690702,0.9481441641789241
logistic_regression_results(PCA),STR,0.935672514619883,0.9431192660550459,0.9753320683111955,0.9443793132621859
logistic_regression_results(SMOTE),STR,0.9283625730994152,0.9361313868613139,0.9734345351043643,0.9505191022371553
logistic_regression_results(column_modified),STR,0.9298245614035088,0.936247723132969,0.9753320683111955,0.9510388087842492
