ID,STR
689,0.27279735
690,0.98737216
691,0.98737216
692,0.005474
693,0.98737216
694,0.36786494
695,0.97620094
696,0.0125431195
697,0.9816626
698,0.14795724
699,0.97321135
700,0.052124903
701,0.98737216
702,0.79345024
703,0.97620094
704,0.016786812
705,0.98737216
706,0.98737216
707,0.009147282
708,0.052124903
709,0.49562314
710,0.0040245554
711,0.008621875
712,0.3834404
713,0.98737216
714,0.008621875
715,0.98737216
716,0.98737216
717,0.0125431195
718,0.98737216
719,0.0125431195
720,0.0029190637
721,0.98737216
722,0.008621875
723,0.19576488
724,0.008621875
725,0.008621875
726,0.47445878
727,0.98737216
728,0.11015522
729,0.030421795
730,0.030421795
731,0.008621875
732,0.5893613
733,0.0125431195
734,0.0025508578
735,0.008621875
736,0.98737216
737,0.26667118
738,0.7854233
739,0.96148723
740,0.98737216
741,0.98737216
742,0.008621875
743,0.98737216
744,0.7891605
745,0.97620094
746,0.9496592
747,0.2380966
748,0.97620094
749,0.5893613
750,0.005474
751,0.84536564
752,0.0125431195
753,0.96046203
754,0.013751377
755,0.77359027
756,0.008621875
757,0.19932447
758,0.9816626
759,0.97620094
760,0.9771632
761,0.61198014
762,0.008621875
763,0.7891605
764,0.0065404857
765,0.28672862
766,0.937255
767,0.07687281
768,0.010963512
769,0.98737216
770,0.8422024
771,0.98737216
772,0.97620094
773,0.97620094
774,0.9656165
775,0.5846951
776,0.79345024
777,0.79345024
